pid,ae01,ae02,ae03,ae04,ae05,ae06,ae07,ae08,ae09,ae10,ep01,ep02,ep03,ep04,ep05,ep06,ep07,ep08,ep09,ep10,am1,am2,am3,am4,am5,ap1,ap2,ap3,ap4,ap5,ac1,ac2,ac3,ac4,ac5,educprop,educingr,edad,nohijos,relig,mapu
1,2,5,5,4,2,4,4,4,5,4,2,2,2,4,2,1,2,4,4,2,5,5,4,4,2,5,4,5,5,5,5,5,5,2,4,3,3,23,1,2,2
4,4,4,5,5,4,4,4,5,1,2,2,4,1,2,2,3,3,3,2,3,5,4,5,5,3,3,2,2,2,4,4,4,4,4,2,3,3,20,3,3,1
7,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,2,2,3,3,3,5,4,4,3,5,5,4,3,4,3,4,4,4,3,3,3,2,38,2,1,1
8,5,5,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,33,2,2,1
10,1,3,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,1,5,3,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,26,1,2,2
11,5,5,5,4,3,5,5,5,5,5,3,1,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,5,3,24,2,1,1
12,2,2,5,5,5,5,5,5,5,5,2,3,1,1,1,1,1,3,4,3,5,5,5,5,5,5,5,3,4,5,3,5,5,5,3,4,3,20,1,2,2
13,5,5,5,4,4,4,4,4,5,4,2,5,2,2,2,2,1,1,4,2,5,5,5,4,2,5,5,5,5,5,4,4,4,4,4,5,3,23,1,2,2
14,2,5,5,5,5,5,5,5,5,4,2,2,1,3,2,1,2,3,4,2,5,4,5,5,5,5,4,5,4,5,4,4,3,3,3,3,3,22,1,2,1
15,4,4,4,4,4,4,4,5,5,5,2,5,4,4,2,3,2,3,3,2,4,4,4,5,5,4,4,4,3,5,5,5,5,4,5,3,3,33,3,3,2
17,4,5,4,3,4,4,3,5,5,4,4,3,3,3,2,1,1,3,4,2,5,5,5,5,5,5,5,5,5,5,3,1,5,3,1,4,4,31,2,2,1
18,4,4,5,2,2,4,4,5,5,5,2,2,1,1,3,1,1,1,4,1,5,5,5,5,5,2,5,5,5,5,5,2,2,1,1,2,2,28,3,2,1
20,5,1,5,5,3,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,2,2,37,3,1,2
21,2,3,3,4,1,2,2,4,5,4,4,4,4,5,5,1,4,4,4,4,5,5,5,5,5,5,4,3,5,5,4,4,4,4,3,4,4,39,2,2,1
22,4,5,5,4,4,4,4,5,5,5,3,5,2,2,2,2,2,1,5,1,5,5,5,5,5,5,2,2,2,5,5,5,5,2,5,2,2,18,1,2,1
23,1,5,5,2,4,4,5,5,5,5,1,2,3,2,1,2,2,2,2,1,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,21,1,3,2
24,2,3,3,3,4,4,2,4,4,4,4,4,3,3,3,2,2,2,2,2,4,4,5,3,3,5,5,4,5,5,4,4,4,3,4,4,5,29,1,2,1
25,5,5,5,5,5,5,3,5,5,5,4,4,1,3,2,1,2,2,5,2,4,1,4,4,4,5,4,2,4,5,5,4,4,2,4,3,5,27,2,1,2
26,5,5,5,5,5,5,5,5,5,5,1,4,4,1,1,1,1,1,5,5,1,1,1,1,1,4,4,4,5,5,4,5,5,1,1,3,2,41,2,2,1
30,4,3,4,4,3,4,4,4,5,4,3,2,3,4,4,3,3,3,4,4,5,3,3,2,2,5,5,5,5,4,5,3,4,3,3,4,4,25,2,2,1
31,3,5,5,5,5,5,5,1,5,3,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,28,1,2,1
32,3,3,5,5,4,5,5,5,5,5,1,2,2,2,2,1,2,2,2,2,1,3,2,2,3,5,5,3,5,5,3,4,4,1,1,5,5,28,2,3,1
33,2,4,5,4,3,4,4,4,5,4,2,5,3,2,2,2,3,4,4,2,4,5,5,4,3,4,5,5,5,5,4,4,4,3,4,3,3,26,2,2,1
34,5,4,4,2,2,4,4,2,4,4,3,4,3,2,2,2,4,3,4,2,4,4,4,3,4,4,4,2,3,4,3,4,4,3,2,3,3,26,2,2,1
35,4,4,4,4,2,4,4,4,4,3,4,4,2,2,2,2,2,3,3,2,4,4,4,4,4,4,4,4,4,4,3,2,4,2,2,2,3,22,1,2,2
36,2,5,3,2,2,4,2,3,4,3,4,5,4,4,3,1,4,1,3,4,4,4,4,5,4,4,4,3,4,4,4,4,3,2,2,3,3,24,1,1,1
37,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,26,2,1,2
39,3,4,4,4,2,3,2,3,4,4,3,2,2,2,4,2,1,2,2,2,3,4,4,4,5,4,4,4,4,5,4,4,3,2,1,3,3,25,1,2,1
40,5,2,4,4,5,5,4,5,4,4,4,4,2,2,2,2,2,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,35,3,2,1
41,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,28,2,2,1
43,2,4,2,2,2,2,2,3,4,4,4,4,4,4,4,2,2,4,4,4,2,4,2,1,2,3,4,2,2,2,4,4,4,4,4,2,2,38,2,2,1
44,4,4,5,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,44,3,1,1
45,2,4,4,1,3,4,5,5,5,5,2,4,4,2,4,1,1,4,5,4,2,2,4,1,1,5,4,5,5,4,4,4,5,4,5,4,2,20,1,2,1
46,2,4,5,4,4,4,4,5,5,5,2,5,2,2,2,1,2,3,3,1,1,4,4,4,4,4,4,4,4,4,2,4,4,1,1,1,3,42,3,2,2
47,2,5,5,5,4,4,3,3,4,3,3,2,2,4,3,2,5,4,4,3,3,3,4,4,2,4,3,2,3,3,4,4,4,3,3,3,4,22,2,2,1
48,4,4,4,4,4,5,4,4,5,4,2,5,2,2,2,1,2,2,2,1,5,4,4,3,4,5,4,3,3,4,3,2,2,1,2,4,3,34,2,1,1
51,5,5,5,2,3,4,5,5,5,4,3,3,1,3,2,1,4,1,4,1,1,1,1,2,3,1,1,1,1,1,1,3,2,3,1,4,3,25,1,1,2
52,5,5,5,3,2,5,4,4,5,4,3,4,3,2,3,2,2,2,3,3,5,5,5,4,3,5,4,4,5,5,4,4,4,3,3,2,3,18,1,2,1
53,1,3,2,2,2,2,2,3,4,3,4,5,4,5,5,2,5,1,4,4,3,3,4,2,1,2,1,1,1,1,4,3,4,2,2,5,3,30,1,1,2
54,2,5,5,3,1,3,5,5,5,5,2,4,2,2,3,1,1,1,1,2,5,4,5,3,1,5,4,4,4,4,4,2,4,2,2,2,3,23,2,1,2
55,5,5,5,5,4,5,5,5,5,5,3,2,1,2,2,1,2,2,2,2,1,5,5,4,4,4,4,4,4,5,4,4,4,5,4,3,4, ,3,2,2
56,4,5,4,5,4,2,4,4,4,4,2,5,5,4,5,4,5,2,4,4,2,1,1,1,4,4,1,2,2,2,4,4,4,1,1,3,4,22,2,3,1
57,3,5,5,5,2,4,4,4,5,4,2,3,4,5,4,1,1,4,5,3,4,4,3,3,4,5,5,4,5,5,5,4,5,5,5,4,3,33,2,2,1
58,4,3,4,4,2,4,4,4,5,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,3,20,1,1,2
59,3,4,4,4,2,3,4,4,4,3,2,2,2,4,2,2,2,2,2,2,3,4,3,3,2,5,4,3,5,5,5,1,1,1,1,3,3,27,2,1,2
60,2,3,5,1,1,5,4,5,5,3,5,5,5,1,5,5,5,3,5,1,5,5,5,5,5,5,5,4,4,5,1,1,1,1,1,5,5,26,1,2,2
61,5,4,5,4,4,4,5,4,5,3,2,3,2,3,2,1,2,1,3,2,5,5,5,5,5,4,3,3,5,5,5,5,5,3,3,5,5,36,2,2,2
62,5,3,4,4,2,3,2,4,4,4,1,4,2,4,4,2,1,1,2,2,5,3,2,2,1,5,5,5,5,5,4,4,4,1,2,6,6,39,2,2,2
63,4,4,4,3,3,3,4,4,4,3,4,2,2,2,2,3,1,1,2,1,5,5,5,5,5,2,3,2,4,5,4,4,4,3,3,5,5,33,2,2,2
64,2,4,4,2,2,2,4,4,5,3,4,4,4,4,4,2,4,5,5,4,4,4,4,4,3,5,5,3,4,3,2,2,2,2,2,5,3,35,1,1,1
65,2,1,1,4,1,4,2,2,3,4,5,5,5,3,4,4,5,3,5,5,4,4,3,3,2,4,1,1,1,1,4,2,3,2,1,3,5,18,1,3,2
66,1,4,5,4,3,4,4,5,5,4,3,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,4,4,5,3,3,3,2,2,3,3,21,1,1,1
67,3,5,5,4,2,4,4,4,5,5,2,2,2,4,2,2,2,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,4,3,2,21,1,1,1
68,5,5,5,5,4,5,5,5,5,5,2,2,4,1,2,1,1,2,2,2,5,3,3,4,3,5,4,3,4,5,5,5,4,4,2,3,4,22,1,1,2
69,4,4,5,5,5,4,5,4,5,4,1,4,1,1,3,1,1,1,3,2,5,4,4,4,5,2,2,2,5,5,3,1,2,1,1,5,5,20,1,1,2
70,5,4,4,5,4,5,5,5,5,5,2,3,1,5,4,1,1,1,3,2,5,4,4,3,3,5,4,3,4,5,5,5,5,3,5,3,4,25,2,1,2
71,2,2,4,5,2,4,4,5,4,2,2,1,2,2,2,1,1,1,2,2,4,5,5,4,5,4,4,4,5,5,2,2,2,2,2,5,5,32,2,1,2
72,3,5,5,5,3,4,4,5,5,5,1,2,1,1,1,1,2,2,2,2,5,5,5,5,3,5,3,3,4,5,5,2,2,1,1,3,3,20,1,2,1
73,3,5,5,5,4,4,3,4,4,5,2,4,2,3,3,4,3,2,4,2,4,4,4,5,4,5,5,5,5,5,3,4,4,2,2,3,2,20,1,2,2
77,4,2,5,4,5,4,2,4,5,5,4,1,1,1,1,1,1,1,4,1,4,4,2,4,2,5,4,4,4,5,4,3,3,4,4,5,5,26,1,1,2
78,1,4,5,2,2,4,2,3,5,3,4,4,2,1,3,2,4,1,4,1,2,1,1,2,3,5,4,3,4,5,2,3,1,2,3,3,3,20,1,3,1
79,5,3,5,5,4,4,5,4,4,4,2,3,2,1,2,1,3,2,2,1,5,4,5,4,5,5,5,5,5,5,4,1,3,2,1,5,6,33,2,2,2
81,3,4,4,4,2,3,2,4,5,4,2,4,3,4,3,4,4,3,4,2,3,2,4,2,1,4,4,4,4,5,3,3,4,3,3,3,3,21,1,1,2
82,4,5,5,5,5,4,5,4,5,5,2,2,1,1,1,1,1,3,2,1,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,19,1,2,2
83,3,3,4,4,3,4,3,4,4,4,3,3,3,3,3,2,3,3,4,3,5,5,5,5,4,4,4,4,4,5,3,3,3,3,2,3,3,20,1,1,2
84,2,3,5,4,2,4,4,4,5,4,2,4,4,3,4,1,1,1,1,1,4,4,4,5,5,4,5,5,5,5,5,3,2,2,1,5,6,38,2,2,2
85,2,4,2,4,2,4,4,5,4,3,2,2,3,2,3,2,4,2,4,2,5,5,4,4,5,5,5,4,5,5,4,2,4,2,2,3,5,26,1,3,2
86,4,5,5,4,3,4,5,4,5,4,3,3,3,4,2,1,3,2,3,2,4,5,5,5,5,5,5,4,4,5,5,3,3,5,3,3,3,20,1,2,2
87,4,5,5,4,2,4,4,4,5,4,2,2,3,2,2,1,2,2,4,2,5,5,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,32,1,2,2
88,2,4,4,4,3,4,4,4,3,4,4,4,2,4,3,2,2,3,4,2,2,2,2,2,2,5,5,5,5,5,4,4,4,3,3,5,5,31,2,3,2
89,2,3,3,4,2,5,5,4,5,4,3,4,3,1,1,1,1,1,1,1,5,4,4,4,2,2,4,4,4,4,4,2,2,2,1,5,4,27,1,3,1
91,5,3,5,5,3,5,5,4,4,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,5,5,3,3,5,4,46,4,3,2
92,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,2,4,4,4,3,4,2,2,1,1,4,1,3,3,3,3,3,30,2,3,2
93,2,5,4,2,2,4,2,3,5,2,4,2,3,2,2,4,2,4,3,4,4,4,3,2,1,3,3,3,3,3,5,3,3,4,4,3,3,26,2,1,2
94,4,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,2,2,2,2,2,4,4,4,4,3,3,2,21,1,1,2
95,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,2,5,5,5,5,2,4,2,2,4,5,4,2,4,4,5,3,2,19,1,2,2
96,2,4,4,4,4,2,4,4,4,3,4,2,2,2,2,2,2,2,2,4,4,4,4,3,4,4,4,2,2,3,4,4,4,2,4,2,2,20,1,2,2
97,5,4,3,5,3,2,3,4,4,3,4,3,2,2,3,1,2,1,4,3,4,2,2,4,1,1,4,4,4,5,4,3,5,2,1,3,3,22,1,2,2
98,2,5,5,4,3,4,5,5,5,5,3,2,1,1,2,1,1,1,4,1,1,3,4,4,2,1,1,1,1,1,1,3,3,3,3,3,3,20,1,1,2
99,5,5,4,2,4,5,5,5,5,2,3,1,1,2,2,2,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,34,2,3,2
100,4,5,5,4,4,4,5,3,5,5,3,4,1,2,2,5,5,2,2,1,5,5,5,5,5,4,4,4,4,4,3,5,5,2,2,4,3,24,2,1,2
101,3,5,5,3,2,1,4,2,5,3,2,5,3,5,3,1,4,3,5,3,2,3,1,5,5,5,4,5,5,5,3,2,2,1,1,3,3,26,2,2,2
102,2,5,5,4,4,4,4,4,5,4,3,4,3,3,2,2,3,4,4,2,5,4,3,4,4,5,5,4,5,3,3,3,3,3,2,3,3,18,1,1,1
104,4,4,5,4,2,4,4,5,5,3,3,4,3,2,2,2,3,1,3,2,5,4,4,3,3,3,3,2,2,4,2,2,3,2,2,3,3,24,1,3,2
105,2,4,5,5,4,5,4,4,5,3,2,2,2,2,3,1,2,1,3,2,5,4,4,3,5,5,3,4,5,5,4,3,3,4,4,5,5,32,1,2,2
107,4,4,5,4,2,3,2,4,4,4,3,1,2,2,3,2,3,1,1,1,2,5,5,5,5,4,3,3,4,4,4,5,5,1,1,6,6,36,2,3,2
108,5,4,5,5,4,4,5,1,1,1,2,2,2,2,2,1,2,1,2,1,5,4,4,4,4,4,4,4,4,5,4,2,4,3,3,6,6,33,2,3,1
110,2,4,3,3,5,5,3,4,4,3,2,2,2,1,1,2,1,1,1,1,5,5,5,4,4,3,3,3,1,1,4,4,3,1,1,3,3,22,1,2,2
2,4,4,5,5,3,3,1,5,5,4,4,4,3,3,3,2,2,3,2,2,3,3,3,4,2,1,4,4,4,4,4,4,4,4,3,4,3,25,3,2,2
3,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,2,1,38,4,2,1
9,1,5,5,5,2,5,2,5,5,4,3,5,2,4,4,3,2,4,4,2,5,5,5,5,5,3,3,3,3,2,4,4,4,4,2,3,2,24,1,1,1
19,5,5,1,5,5,5,5,1,1,1,4,4,4,4,4,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,43,4,2,1
38,4,5,3,1,3,2,1,5,5,5,4,3,2,3,3,1,5,5,5,5,1,5,1,3,1,5,5,3,5,5,1,1,3,3,1,3,3,25,2,2,2
42,4,4,4,4,4,4,4,5,5,5,4,4,1,4,3,1,1,3,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,3,3,43,2,2,2
103,3,3,5,5,3,3,4,2,4,5,4,2,2,2,2,1,1,3,1,1,2,2,2,4,3,5,5,4,4,5,3,2,2,2,2,3,3,36,2,3,2
106,4,4,5,5,4,4,4,4,4,4,2,2,3,2,2,2,1,1,1,1,4,3,3,3,5,4,4,4,4,4,4,3,3,1,1,5,6,37,4,1,2
109,4,5,5,5,5,4,5,5,5,4,4,1,1,2,2,1,2,3,3,3,5,5,5,5,5,2,1,2,2,4,5,5,5,5,4,2,3,29,1,2,1
27,3,5,5,5,2,5,5,5,5,5,4,4,2,2,4,1,2,2,2,2,1,1,1,1,1,5,4,4,4,5,5,5,4,5,5,3,3,35,2,1,1
29,5,2,1,5,3,5,3,5,5,5,5,5,2,5,1,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,30,4,3,2
50,2,5,5,4,3,5,3,3,5,3,2,5,1,2,3,1,1,3,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4,3,3,18,1,2,2
5,4,4,3,3,3,4,5,4,4,4,4,5,1,5,2,1,3,5,5,1,3,3,3,3,3,4,4,1,3,3,4,4,4,4,4,3,2,28,2,2,1
49,2,2,5,5,5,4,4,4,5,5,1,5,1,1,1,1,1,1,5,1,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,3,3,30,2,1,1
80,1,3,4,1,1,2,2,3,3,4,3,5,4,4,4,3,4,5,5,4,4,4,4,4,1,3,3,3,3,3,4,4,4,4,4,5,5,23,1,1,2
90,5,5,5,5,5,5,5,5,5,5,4,2,1,1,1,1,1,1,5,1,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,5,3,23,1,1,2
